reply_to_mismatch,spf_dkim_failure,url_count,ip_based_urls,suspicious_tld_count,urgency_density,credential_request_density,uppercase_ratio,zero_width_chars,leetspeak_anomalies,html_tag_count,text_entropy,suspicious_attachments_count,is_malicious
0,0,1,0,0,0.0,0.0,0.04451038575667656,0,3,2,5.100154608131579,0,0
1,0,2,0,1,0.0,0.0,0.07491289198606271,0,1,0,4.688266449296147,0,0
1,0,2,0,1,0.003968253968253968,0.003968253968253968,0.07436096049573973,0,1,0,4.785811398257905,0,0
0,0,2,0,0,0.0,0.0,0.05090909090909091,0,1,0,4.757428019192094,0,0
1,0,3,0,1,0.0,0.006993006993006993,0.06116642958748222,0,1,0,4.730666327469149,0,0
1,0,2,0,1,0.0,0.0,0.07625272331154684,0,1,0,4.673915110244726,0,0
1,0,2,0,1,0.0,0.0,0.06343713956170703,0,1,0,4.7318932009200205,0,0
1,0,4,0,1,0.0,0.0,0.0661764705882353,0,1,1,4.803990594609712,0,0
1,0,2,0,1,0.0,0.0009765625,0.031613611416026345,0,1,0,4.5494403736554565,0,0
0,0,2,0,0,0.0,0.0,0.05564648117839607,0,1,0,4.746877354169492,0,0
0,0,3,0,0,0.0,0.0,0.04785894206549118,0,1,0,4.760644236749264,0,0
0,0,2,0,0,0.0,0.0064516129032258064,0.04454022988505747,0,1,0,4.819325543344386,0,0
0,0,1,0,0,0.0,0.0,0.03488372093023256,0,2,0,4.70705095380306,0,0
1,0,2,0,0,0.0,0.003484320557491289,0.08275862068965517,0,3,3,4.85134298101761,0,0
0,0,2,0,0,0.0,0.001440922190201729,0.02441794434980125,0,0,0,4.497685449575879,0,0
1,0,1,0,0,0.0,0.0,0.08636363636363636,0,2,0,4.959981013401501,0,0
1,0,2,0,1,0.0,0.0,0.07133917396745933,0,3,1,4.799292388512142,0,0
0,0,2,0,0,0.0,0.0,0.07480916030534351,0,5,0,4.787073161862527,0,0
1,0,3,0,1,0.0,0.0,0.11481481481481481,0,1,0,4.581300598881881,0,0
0,0,1,0,0,0.0,0.0,0.04218362282878412,0,2,0,4.529090474673376,0,0
1,0,3,0,1,0.0,0.0,0.11824324324324324,0,1,0,4.669877226128973,0,0
1,0,1,0,0,0.0,0.0,0.05368516833484986,0,2,0,4.685189680490586,0,0
